S. No.,text,task_1
231,"আজি দেখিছোঁ লোকৰ ছোৱালী জনী কাপোৰ খিনি তলৰ পৰা ওপৰলৈ উলিয়াই দিলে কুটি কুটি,",NOT
232,এইক কেছাদাচ নে কি কয় সেইটো শিকায় দিব লাগিছিল।,HOF
233,"হয় মন্ত্ৰী মহোদয়,মই 09/03/2022 মোৰ গাড়ী RC কাম শেষ কৰিলো।ডাক যোগে পাব বুলি ক'লে।কিন্তু ডাক ঘৰত আজিলৈকে নাই অহা বুলি কয়।উৎকোচ নিদিলে এনেকুৱাই লেহেমীয়া হয়।",HOF
234,কিন দুনিয়াত নকৰাৰ কাম তোৰ কৰিপেলা তেওঁ মোৰ মতে,HOF
235,আইমী তুমি তোমাৰ জেগাত থকাই ভাল হব ।,HOF
236,গোতেই আসন কেইখন আনক এৰি দিয়াতকৈ নিজৰ দখলত ৰখাই ভাল !,HOF
237,এই জনি তু বাৰেই ৰেন্দি হয় দেখাতে কয়,HOF
238,কেজিৰীবাল কোন ২০২৪ ৰ ইলেকসন অকল মোদীকলৈহে হব।,HOF
239,"অসমত অসমীয়া শাহকৰ পৰা কেনেকৈ জাতিদ্ৰোহী জনগন বিৰোধী সিদ্ধান্ত লৈ কাৰ্য কৰি নিজ জাতি মাটি ভেতি ভাষা সংস্কৃতি সম্পদ ধ্বংসৰ যুখলৈ নি গাদ্দাৰ কৰি মন্ত্ৰী হোৱা ,দুৰ্নীতি কেলেংকাৰী কৰাৰ বুদ্ধি ,শিকিব পাঐিব ।",HOF
240,তাই ২টা সন্তান মাৰি নদীত পেলাব গৈছিল,HOF
241,সেইটো কাৰণে সিহঁতৰ বোৰক কুকুৰেও ঘূৰি নাচাই সেইটো কাৰণে এই বোৰ কাম কৰে জহৰা বোৰে।,HOF
242,অনেক সুন্দর হয়েছে Abed Ali ভাই,NOT
243,সংসাৰ ধংস কৰে এই সকল মানুহে,HOF
244,আমাৰ অসমত কেবল ৰাজনীতিহে কৰিব  জানে।,HOF
245,আমি খিলঞ্জীয়া সকল যৰ পৰাই হলো তহতক কিয় লাগে.,NOT
246,"নামনি অসমৰ পৰা চাকৰিৰ পৰীক্ষা কেন্দ্ৰ সমুহ বহু দুৰৰ জিলা সমুহ লৈ গল,তাৰ কোনো প্ৰতিবাদ নকৰিলে । ",NOT
247,আজমলক ৰক্ষনা বেক্ষনা দিয়া বি জে পি দলও এটা আজমলতকৈ বেছি সন্ত্ৰাসবাদী,HOF
248,কিম জঙৰ হিচাপত তাই এই খন পৃথিৱীত থাকিব নাপালে হেতেন,HOF
249,যদিহে নেমানে তেনে দ'ল সংগঠন সমূহ অবৈধ বুলি বিবেচিত হ'ব লাগে আৰু চৰকাৰৰ ও প্ৰতিবন্ধকতা থাকিব লাগে।,HOF
250,শক্তিশালী বিকল্পৰ নিতান্তই প্ৰয়োজন অসমত ।,HOF
251,"এনে বোৰ চাই চাই কোনো যুবকে বেয়া কাম কৰিলে কি হব ,",HOF
252,বি জে পি  মোদী চৰকাৰ ঠগবাচ।,HOF
253,"যি দেখিছ সেয়াই ওই ছোৱালী,, network marketing ত জইন হোৱাৰ বাবে কামুৰি আছিল",NOT
254,"শুকুৰ আলি নহয়, গোবৰ আলি।",HOF
255,জবা নাইচা নাইছা দেওয়া আছে,NOT
256,অভাৰ এক্টিঙৰ কাট ৫০ টকা,HOF
257,আৰক্ষীয়ে উচিত প্ৰতুত্তৰ দিয়াটো বিচাৰিছো,NOT
258,ঘন্টাবোৰৰ কাৰনে অসমখনবেয়া হৈছে চাল্লা,HOF
259,তোমাৰ উচৰত পাখি বা ফোন নাবাৰ টা,NOT
260,ঘাটিয়া,NOT
261,জহৰী,HOF
262,দেখা পাই হাত ভৰি পিৰ পিৰাই উঠিছে,HOF
263,বেয়া লগা নাই,HOF
264,বিজেপিনো কোন ধুৱা তুলসীৰ পাত??,HOF
265,কৰ পৰা তপকিল মালতো,HOF
266,নাটক ইহতৰ এইবিলাক...লাজ থাকিলে ওলাই আহিলে হয়,HOF
267,আমাৰ আনৰ বস্তু লোৱা বাবে দৰ্শকে আদৰি নলয় । নিজেই নিজক ভাল বোলাত কে আনে ভাল কব লাগে,NOT
268,কুঠাৰ লৈ মাৰিম কেলা,HOF
269,ডাইনী পৰুৱা,HOF
270,গোতেই ভাৰতখণ আজিলৈকে একো নোহোৱাকৈ যে আছে একমাত্ৰ ভাল মুচলমানৰ কাৰনে..,NOT
271,আছুৰ নামত ইহঁত কলংক।,HOF
272,আমিৰ খানৰ লেট্ৰিনৰ পাইপ ফাটি বেয়া গোন্ধ ওলাইছে। খৱৰ পোৱা নাই নেকি আপোনালোকে।,HOF
273,"কথাত কটা যায়,কথাত বঁটা পায়। সেইকাৰণে সাৱধান কথা কওঁতে ",NOT
274,কিয় জিকা বিধায়ক পলাই ফুৰিছে,HOF
275," চকু নিদিবি ঘেন্টা ,চকু ঘুকি লৈ আনিম",HOF
276,অভদ্য ল'ৰা,HOF
277,কলিয়াবৰত জিকিব জানো ?,HOF
278,"আপোনাৰ গিৰিয়েৰতো মৰক সোনকালে আৰু আপুনি বিধবা হওক যাতে আপুনি পুনৰ বিবাহ হব পাৰিব , ",HOF
279,"কিন্তুু ইয়াৰ ইৰ্থ এইটো নহয় যে আমি অসমীয়া জাতিৰ অস্তিত্বৰ বিৰুদ্ধে আপোনালোকে যদি কাম কৰে বা যদি তাৰ বিপৰীতে কাম কৰে আমি মনে মনে নাথাকো বা মানি নলও ,",NOT
280,সেই বাবেই অসমৰ চৰকাৰী বিদ্যালয় সমুহ   উন্নত কৰাৰ প্ৰয়োজন আছিল চৰকাৰৰ কিয়নো অসমখন দুখীয়া  মানুহৰ ৰাজ্য।,NOT
281,তহতৰ জনসংখ্যা অলপ কমি আছে অলপ কম দিনৰ ভিতৰত বৃদ্ধি কৰ তেতিয়া নিজে নিজে স্বায়ত্ত পৰিষদ হৈয় যাব দে।,HOF
282,বিদেশী।,HOF
283,ধুৰ ফাগলা,NOT
284,"bjpয়ে যে সময় সুবিধা চাই  এদিন স্কুল বোৰ বেচিব তাৰ কোনো সন্দেহ নাই । চব তো বেচি ছেছেই কৰিলে ,এতিয়া আৰু স্কুল বোৰ হে আছে ",HOF
285,নৰকত পচিব এই,HOF
286,নাৰী সমাজ কত গল।,NOT
287,এটা কথা ঠিক চৰ চাপৰিৰ মানুহে হাড় ভঙা পৰিশ্রম কৰা খেতি বাতি খাই অসমীয়া সমাজ খন জীয়াই আছে বুলি ভাবো ।,NOT
288,সব বিক্ৰী হৈছে।,NOT
289,গেডাৰ মানসিকতাই এনেকুৱা।,HOF
290,বৰ ভাল লাগিল। হিমন্ত কথা সম্পূর্ণ কে নিদিয়ে কিয়,HOF
291,"আৰু ১০ টা বছৰ পাছত এই জনীৰ শৰিৰ মানুহে চোৱাটো দূৰৰ কথা, ",NOT
292,বা বা ককা গৰম দেই,HOF
293,ছুদুভাই,HOF
294,মন্তব্য দিব মন গলে ভদ্ৰ আৰু অমায়িক মাৰ্জিত ভাষাৰে দিব লাগে। নহলে মন্তব্য নিদিয়াই ভাল।,HOF
295,যেনেকৈ ভাৰতত ধৰ্ম নিৰপেক্ষ শব্দটো হিন্দু ধৰ্মী মানুহ সকলক দমন কৰিবলৈ বেবহাৰ কৰিছে ঠিক তেনেকৈ মান মৰ্যদা শব্দটো মহিলাৰ অধিকাৰ দমন কৰিবলৈ বেবহাৰ কৰিছে।,NOT
296,বছৰ বছৰ অক্টোবৰৰ পৰা মাৰচ মাহলৈ প্ৰদুশনত মানুহ ওলাবনোবাৰা অবস্থা,HOF
297,মিছা অপবাদ,NOT
298,সিহঁতে অসমত থাকি অসমীয়া ভাল দৰে কব নাজানে।,HOF
299,কাৰ সমীক্ষা? বালডেনপন্থী??,HOF
300,আনন্দমেলা,NOT
301,জয় আই অসম,NOT
302,"দুখৰ বিষয় যে তেনে কাৰ্য্য হাতত ললেই এচাম দেশহিতৈষী ,জাতি প্ৰেমী,জাতীয়তাবাদী য়ে আন্দোলন আৰম্ভ কৰি দিয়ে।",HOF
303,গেধা বুলি কোৱাৰ বাবে বহুত লাজ পাইছে,HOF
304,কিয় বাতৰি পৰিবেশন কৰিছিলি নহলে,HOF
305,তেওঁটো বুঢ়া হোৱা নাই  যে মেক আপ কৰিব এৰি দিব আমাৰ সমাজত কেনেকুৱা  মানুহ আছে ধৰিব নোৱাৰি ।,NOT
